töö_võtja;töö_võtja;;42600
tarbija;tarbija;;42600
töö_võtja;töö_võtja;;42600
tarbija;tarbija;;42600
maksu_maksja;maksu_maksja;;42600
maksu_maksja;maksu_maksja;;42600
maksu_maksja;maksu_maksja;;42600
maksja;maksja;;42600
töötaja;töötaja;;42600
töötaja;töötaja;;42600
töötaja;töötaja;;42600
arvutaja;arvutaja;;42600
ostja;ostja;;42600
profi_mängija;profi_mängija;;42600
kindlustus_võtja;kindlustus_võtja;;42600
likviidsus_kordaja;likviidsus_kordaja;;42600
likviidsus_kordaja;likviidsus_kordaja;;42600
näitaja;näitaja;;42600
tootja;tootja;;42600
esindaja;esindaja;;42600
esindaja;esindaja;;42600
uurija;uurija;;42600
uurija;uurija;;42600
mere_uurija;mere_uurija;;42600
valitseja;valitseja;;42600
töötaja;töötaja;;42600
rajaja;rajaja;;42600
juhataja;juhataja;;42600
esindaja;esindaja;;42600
tootja;tootja;;42600
jala_käija;jala_käija;;42600
kukkuja;kukkuja;;42600
kukkuja;kukkuja;;42600
juhataja;juhataja;;42600
ase_täitja;ase_täitja;;42600
juhataja;juhataja;;42600
ase_täitja;ase_täitja;;42600
näitleja;näitleja;;42600
lille_tooja;lille_tooja;;42600
leiutaja;leiutaja;;42600
algataja;algataja;;42600
osa_võtja;osa_võtja;;42600
vaataja;vaataja;;42600
vaataja;vaataja;;42600
suusataja;suusataja;;42600
võitja;võitja;;42600
juhendaja;juhendaja;;42600
mantli_pärija;mantli_pärija;;42600
suusataja;suusataja;;42600
ees_olija;ees_oleja;tegelt i;42600
mängija;mängija;;42600
ääre_mängija;ääre_mängija;;42600
mängija;mängija;;42600
enese_imetleja;enese_imetleja;;42600
mängija;mängija;;42600
pool_kaitsja;pool_kaitsja;;42600
karika_kaitsja;karika_kaitsja;;42600
kaitsja;kaitsja;;42600
kesk_mängija;kesk_mängija;;42600
meedia_esindaja;meedia_esindaja;;42600
mängija;mängija;;42600
võitja;võitja;;42600
karika_võitja;karika_võitja;;42600
esindaja;esindaja;;42600
mängija;mängija;;42600
valija;valija;;42600
tipp_tegija;tipp_tegeja;tegelt i;42600
olümpia_võitja;olümpia_võitja;;42600
juhataja;juhataja;;42600
vaatleja;vaatleja;;42600
pressi_esindaja;pressi_esindaja;;42600
korraldaja;korraldaja;;42600
töötaja;töötaja;;42600
pressi_esindaja;pressi_esindaja;;42600
pressi_esindaja;pressi_esindaja;;42600
esindaja;esindaja;;42600
teenistuja;teenistuja;tegelt stuja;42600
