läbi_viimine;läbi_viimine;;63900
vallutamine;vallutamine;;63900
loobumine;loobumine;;63900
läbi_viimine;läbi_viimine;;63900
lüiasaamine;lüia_saamine;;63900
helistamine;helistamine;;63900
andmine;andmine;;63900
kuuletumine;kuuletumine;;63900
kuuletumine;kuuletumine;;63900
otsustamine;otsustamine;;63900
vallutamine;vallutamine;;63900
võrdlemine;võrdlemine;;63900
teadmine;teadmine;;63900
vallutamine;vallutamine;;63900
helistamine;helistamine;;63900
vallutamine;vallutamine;;63900
vallutamine;vallutamine;;63900
uurimine;uurimine;;63900
aitamine;aitamine;;63900
tegemine;tegemine;;63900
lainetamine;lainetamine;;63900
mõtlemine;mõtlemine;;63900
abi_ellumine;abiellumine;;63900
kaitsmine;kaitsmine;;63900
tahtmine;tahtmine;;63900
müristamine;müristamine;;63900
müristamine;müristamine;;63900
müristamine;müristamine;;63900
müristamine;müristamine;;63900
ostmine;ostmine;;63900
ehitamine;ehitamine;;63900
tahtmine;tahtmine;;63900
unistamine;unistamine;;63900
söömine;söömine;;63900
joomine;joomine;;63900
õlle_joomine;õlle_joomine;;63900
võtmine;võtmine;;63900
veetmine;veetmine;;63900
vaatamine;vaatamine;;63900
nautimine;nautimine;;63900
teadmine;teadmine;;63900
haigestumine;haigestumine;;63900
söömine;söömine;;63900
astumine;astumine;;63900
ähkimine;ähkimine;;63900
sajatamine;sajatamine;;63900
pardi_laskmine;pardi_laskmine;;63900
hankimine;hankimine;;63900
prääksumine;prääksumine;;63900
prääksumine;prääksumine;;63900
teadmine;teadmine;;63900
ammumine;ammumine;;63900
välja_nägemine;välja_nägemine;;63900
päevitamine;päevitamine;;63900
suitsetamine;suitsetamine;;63900
hingamine;hingamine;;63900
tegemine;tegemine;;63900
ronimine;ronimine;;63900
käimine;käimine;;63900
mõistmine;mõistmine;;63900
rahva_valgustamine;rahva_valgustamine;;63900
rahva_valgustamine;rahva_valgustamine;;63900
rahva_valgustamine;rahva_valgustamine;;63900
augu_kaevamine;augu_kaevamine;;63900
olemine;olemine;;63900
söömine;söömine;;63900
laulu_loomine;laulu_loomine;;63900
mõtlemine;mõtlemine;;63900
maja_pidamine;maja_pidamine;;63900
viimine;viimine;;63900
müümine;müümine;;63900
tegemine;tegemine;;63900
olemine;olemine;;63900
toimetamine;toimetamine;;63900
maja_ehitamine;maja_ehitamine;;63900
vaatamine;vaatamine;;63900
alla_jäämine;alla_jäämine;;63900
registreerimine;registreerimine;;63900
ilmumine;ilmumine;;63900
alla_ajamine;alla_ajamine;;63900
alla_ajamine;alla_ajamine;;63900
riivamine;riivamine;;63900
alla_ajamine;alla_ajamine;;63900
eba_õnnestumine;ebaõnnestumine;;63900
petmine;petmine;;63900
viibimine;viibimine;;63900
varjamine;varjamine;;63900
peki_raiskamine;peki_raiskamine;;63900
koos_istumine;koos_istumine;;63900
sündimine;sündimine;;63900
valmistumine;valmistumine;;63900
sünnitamine;sünnitamine;;63900
sünnitamine;sünnitamine;;63900
sünnitamine;sünnitamine;;63900
vaatamine;vaatamine;;63900
uppumine;uppumine;;63900
väljumine;väljumine;;63900
hilinemine;hilinemine;;63900
välja_andmine;välja_andmine;;63900
seismine;seismine;;63900
lammutamine;lammutamine;;63900
virisemine;virisemine;;63900
sõja_pidamine;sõja_pidamine;;63900
hädaldamine;hädaldamine;;63900
praalimine;praalimine;;63900
kohtumine;kohtumine;;63900
nalja_tegemine;nalja_tegemine;;63900
kidumine;kidumine;;63900
kurtmine;kurtmine;;63900
tahtmine;tahtmine;;63900
samagonni_ajamine;samagonni_ajamine;;63900
laskmine;laskmine;;63900
kadumine;kadumine;;63900
avamine;avamine;;63900
sinna_minemine;sinna_minemine;;63900
kirjeldamine;kirjeldamine;;63900
kirjutamine;kirjutamine;;63900
lonkimine;lonkimine;;63900
vibu_laskmine;vibu_laskmine;;63900
jutu_ajamine;jutu_ajamine;;63900
järele_mõtlemine;järele_mõtlemine;;63900
lüpsmine;lüpsmine;;63900
ilma_jäämine;ilma_jäämine;;63900
söömine;söömine;;63900
einetamine;einetamine;;63900
istumine;istumine;;63900
koolis_käimine;koolis_käimine;;63900
rehkendamine;rehkendamine;;63900
lugemine;lugemine;;63900
kirjutamine;kirjutamine;;63900
pensioni_saamine;pensioni_saamine;;63900
joomine;joomine;;63900
välja_vaatamine;välja_vaatamine;;63900
tahtmine;tahtmine;;63900
õmblemine;õmblemine;;63900
teod_tegemine;teod_tegemine;;63900
solvamine;solvamine;;63900
üles_koukimine;üles_koukimine;;63900
ütlemine;ütlemine;;63900
kostitamine;kostitamine;;63900
raha_laenamine;raha_laenamine;;63900
ära_ütlemine;ära_ütlemine;;63900
rahva_kogunemine;rahva_kogunemine;;63900
andmine;andmine;;63900
kiikumine;kiikumine;;63900
põletamine;põletamine;;63900
nägemine;nägemine;;63900
väetise_külvamine;väetise_külvamine;;63900
puudumine;puudumine;;63900
kuhja_tegemine;kuhja_tegemine;;63900
meeldimine;meeldimine;;63900
pidamine;pidamine;;63900
romaani_kirjutamine;romaani_kirjutamine;;63900
elamine;elamine;;63900
kirjutamine;kirjutamine;;63900
kirjutamine;kirjutamine;;63900
kirjutamine;kirjutamine;;63900
saagimine;saagimine;;63900
